query,doi,title,authors_first8,container,year,type,publisher,url,score
覆岩 扰动 采区规划 煤矿,10.33142/ec.v3i7.2338,论煤矿采煤技术的发展与采煤自动化技术,王德超,工程建设,2020,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ec.v3i7.2338,49.454872
覆岩 扰动 采区规划 煤矿,10.37155/2717-5197-0714-40,煤矿采矿中的智能化采煤设备与自动化控制系统,申绍平,机械与电子控制工程,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5197-0714-40,48.53639
覆岩 扰动 采区规划 煤矿,10.18356/e3bb29ad-zh,瓦斯抽采,,有效抽采及利用煤矿区煤层气 最佳实施方案指南,2010,book-chapter,UN,https://doi.org/10.18356/e3bb29ad-zh,48.335854
覆岩 扰动 采区规划 煤矿,10.18356/320b8767-zh,有效抽采及利用煤矿区煤层气 最佳实施方案指南,,,2010,book,UN,https://doi.org/10.18356/320b8767-zh,47.460052
覆岩 扰动 采区规划 煤矿,10.37155/2717-5189-0611-8,浅谈煤矿采煤技术的发展与采煤自动化技术,牟元生,工程管理与技术探讨,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5189-0611-8,46.932766
覆岩 扰动 采区规划 煤矿,10.32629/gmsm.v3i4.842,煤矿无人化自动开采技术研究,陈拓其,地矿测绘,2020,journal-article,Frontier Scientific Publishing Pte Ltd,https://doi.org/10.32629/gmsm.v3i4.842,46.843533
覆岩 扰动 采区规划 煤矿,10.18356/7080cdcc-zh,煤矿瓦斯的赋存、释放与预测,,有效抽采及利用煤矿区煤层气 最佳实施方案指南,2010,book-chapter,UN,https://doi.org/10.18356/7080cdcc-zh,46.64164
覆岩 扰动 采区规划 煤矿,10.18356/b0947b10-zh,瓦斯抽采方法比较,,有效抽采及利用煤矿区煤层气 最佳实施方案指南,2010,book-chapter,UN,https://doi.org/10.18356/b0947b10-zh,46.553593
覆岩 扰动 采区规划 煤矿,10.37155/2811-0609-0502-45,煤矿采煤技术的发展与采煤自动化技术的应用,时帅帅; 邱玉东,工程施工新技术,2026,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0502-45,46.3464
覆岩 扰动 采区规划 煤矿,10.61369/era.6347,煤矿采矿过程中的岩层控制技术研究,段绍勇,Engineering Research and Application,2024,journal-article,Art and Design Press,https://doi.org/10.61369/era.6347,46.063274
覆岩 扰动 采区规划 煤矿,10.18356/60c6ec99-zh,总结,,有效抽采及利用煤矿区煤层气 最佳实施方案指南,2010,book-chapter,UN,https://doi.org/10.18356/60c6ec99-zh,45.58213
覆岩 扰动 采区规划 煤矿,10.33142/ucp.v1i3.13928,煤矿机电技术管理在煤矿安全生产中的应用探究,刘利飞,城市建设与规划,2024,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ucp.v1i3.13928,45.475224
覆岩 扰动 采区规划 煤矿,10.18356/d0da6d4e-zh,前言,,有效抽采及利用煤矿区煤层气 最佳实施方案指南,2010,book-chapter,UN,https://doi.org/10.18356/d0da6d4e-zh,45.43838
覆岩 扰动 采区规划 煤矿,10.61369/ied.8232,不同采动深度下煤岩体应变能特征及诱发强矿压机制研究,慕彬业,International Economy and Development,2024,journal-article,Art and Design Press,https://doi.org/10.61369/ied.8232,45.36732
覆岩 扰动 采区规划 煤矿,10.18356/37807eee-zh,导言,,有效抽采及利用煤矿区煤层气 最佳实施方案指南,2010,book-chapter,UN,https://doi.org/10.18356/37807eee-zh,45.341427
覆岩 导水裂隙带 含水层 扰动 煤矿,10.32629/gmsm.v3i2.609,基于关键层位置的覆岩导水裂隙带高度预计方法,张允强; 刘强; 李金龙,地矿测绘,2020,journal-article,Frontier Scientific Publishing Pte Ltd,https://doi.org/10.32629/gmsm.v3i2.609,91.434456
覆岩 导水裂隙带 含水层 扰动 煤矿,10.33142/ec.v5i8.6521,宁东矿区煤矿导水裂隙带智能预测及应用,王泽阳,工程建设,2022,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ec.v5i8.6521,80.49982
覆岩 导水裂隙带 含水层 扰动 煤矿,10.33142/hst.v8i12.18440,裂隙水渗流特性与含水层划分方法研究,聂龙龙,水电科技,2025,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/hst.v8i12.18440,65.1123
覆岩 导水裂隙带 含水层 扰动 煤矿,10.3799/dqkx.2019.088,华北煤田矿山开采导致含水层破坏风险评估：以淄博洪山煤矿为例,李建中; 周爱国; 周建伟; 柴波; 冯海波; 苏丹辉,Earth Science-Journal of China University of Geosciences,2020,journal-article,Editorial Office of Earth Science,https://doi.org/10.3799/dqkx.2019.088,57.749954
覆岩 导水裂隙带 含水层 扰动 煤矿,10.1360/csb1996-41-16-1493,结晶岩区裂隙水水动力环境的地球化学与同位素标记,王焰新; А.П.Хаустов,Chinese Science Bulletin,1996,journal-article,"Science China Press., Co. Ltd.",https://doi.org/10.1360/csb1996-41-16-1493,56.21363
覆岩 导水裂隙带 含水层 扰动 煤矿,10.3799/dqkx.2021.020,岩溶裂隙含水层中石油类有机物的自然衰减机制,郭永丽; 章程; 吴庆; 全洗强,Earth Science-Journal of China University of Geosciences,2021,journal-article,Editorial Office of Earth Science,https://doi.org/10.3799/dqkx.2021.020,56.026413
覆岩 导水裂隙带 含水层 扰动 煤矿,10.1360/csb2005-50-s1-99,流动的地下水对煤层含气性的破坏机理,秦胜飞,Chinese Science Bulletin,2005,journal-article,"Science China Press., Co. Ltd.",https://doi.org/10.1360/csb2005-50-s1-99,53.4523
覆岩 导水裂隙带 含水层 扰动 煤矿,10.1360/csb2005-50-s1-38,晋城成庄矿煤层大裂隙系统研究,王生维,Chinese Science Bulletin,2005,journal-article,"Science China Press., Co. Ltd.",https://doi.org/10.1360/csb2005-50-s1-38,53.083344
覆岩 导水裂隙带 含水层 扰动 煤矿,10.37155/2811-0609-0420-10,煤矿底板强含水层定向钻进注浆治理技术,张　超,工程施工新技术,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0420-10,52.85984
覆岩 导水裂隙带 含水层 扰动 煤矿,10.32629/gmsm.v2i4.295,鹤煤六矿深层开采承压水头限值研究,李向楠,地矿测绘,2019,journal-article,Frontier Scientific Publishing Pte Ltd,https://doi.org/10.32629/gmsm.v2i4.295,51.98966
导水裂隙带 发育 预测 煤层 开采,10.32629/gmsm.v2i6.413,开采易燃煤层采空区低温氧化预测分析,邵嗣华; 赵亮宏; 金世虎; 门万成,地矿测绘,2019,journal-article,Frontier Scientific Publishing Pte Ltd,https://doi.org/10.32629/gmsm.v2i6.413,65.41555
导水裂隙带 发育 预测 煤层 开采,10.33142/ec.v2i4.257,巨厚煤层带压开采防治水技术研究与实践,尹宏昌; 王宏伟,工程建设,2019,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ec.v2i4.257,59.389874
导水裂隙带 发育 预测 煤层 开采,10.32629/gmsm.v2i4.247,低渗煤层CO2预裂增透高效瓦斯抽采原理及应用,汪虎,地矿测绘,2019,journal-article,Frontier Scientific Publishing Pte Ltd,https://doi.org/10.32629/gmsm.v2i4.247,59.113598
导水裂隙带 发育 预测 煤层 开采,10.37155/2811-0609-0412-7,二氧化碳减水压裂技术与常规压裂在煤层气开采中的效率对比,高　凯,工程施工新技术,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0412-7,54.811207
导水裂隙带 发育 预测 煤层 开采,10.33142/aem.v2i7.2598,弹性波法超前地质预报对隧道富水裂隙带的探测反映,张聪,建筑工程与管理,2020,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/aem.v2i7.2598,52.498222
导水裂隙带 发育 预测 煤层 开采,10.37155/2972-4333-0207-10,煤层气开采发展趋势及其增产技术,勇刘,工程技术创新与发展,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2972-4333-0207-10,51.78045
导水裂隙带 发育 预测 煤层 开采,10.32629/gmsm.v3i3.701,煤矿开采引发地表变形的动态测量方法探析,曹东京; 王金正; 程小龙,地矿测绘,2020,journal-article,Frontier Scientific Publishing Pte Ltd,https://doi.org/10.32629/gmsm.v3i3.701,50.037056
导水裂隙带 发育 预测 煤层 开采,10.37155/3041-0827-0108-67,低煤阶煤层气煤储层物性特征对煤层气开发的影响,李俊肖,工程技术与质量管理,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/3041-0827-0108-67,47.748398
导水裂隙带 发育 预测 煤层 开采,10.37155/2811-0609-0414-39,井工开采薄煤层开采技术难题与解决方案,孙卫星,工程施工新技术,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0414-39,47.170074
导水裂隙带 发育 预测 煤层 开采,10.37155/2717-5189-0516-9,厚煤层开采中煤矿综采技术的应用分析,左小岗,工程管理与技术探讨,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5189-0516-9,46.78786
地表沉陷 采煤 沉陷 预测 煤矿,10.37155/2811-0595-0202-18,煤矿地质中土地沉陷预测研究,郝晓宇,地质研究与环境保护,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0595-0202-18,104.87491
地表沉陷 采煤 沉陷 预测 煤矿,10.37155/2811-0609-0401-26,煤矿开采沉陷地质灾害和处理策略,刘　斌,工程施工新技术,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0401-26,94.02077
地表沉陷 采煤 沉陷 预测 煤矿,10.37155/2811-0625-0319-43,煤矿开采沉陷充填开采技术应用,广李,现代工程项目管理,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0625-0319-43,91.67273
地表沉陷 采煤 沉陷 预测 煤矿,10.37155/2811-0625-0324-48,煤矿开采沉陷充填开采技术应用研究,陈　新,现代工程项目管理,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0625-0324-48,89.81527
地表沉陷 采煤 沉陷 预测 煤矿,10.37155/2811-0609-0210-26,煤矿开采沉陷预防和控制技术,崔浩浩; 施凤刚; 王　林; 文小彬,工程施工新技术,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0210-26,89.15818
地表沉陷 采煤 沉陷 预测 煤矿,10.32629/gmsm.v3i4.828,GPS RTK技术在采煤塌陷地治理测量中的运用,陈宗成,地矿测绘,2020,journal-article,Frontier Scientific Publishing Pte Ltd,https://doi.org/10.32629/gmsm.v3i4.828,88.773605
地表沉陷 采煤 沉陷 预测 煤矿,10.37155/2811-0595-0202-53,采煤沉陷区土地复垦技术展望,莽许,地质研究与环境保护,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0595-0202-53,88.053696
地表沉陷 采煤 沉陷 预测 煤矿,10.37155/2811-0609-0310-58,煤矿开采沉陷分析及其防治措施研究,孟　波,工程施工新技术,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0310-58,85.72309
地表沉陷 采煤 沉陷 预测 煤矿,10.37155/2811-0609-0404-76,基于多数据源的采煤沉陷区早期识别及地面形变特征监测,张国强,工程施工新技术,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0404-76,83.65386
地表沉陷 采煤 沉陷 预测 煤矿,10.37155/2811-0609-0302-67,煤矿开采塌陷地生态修复治理,陈　伟,工程施工新技术,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0302-67,73.757095
地表沉陷 采煤 沉陷 预测 煤矿,10.37155/2811-0609-0312-27,井工煤矿地表塌陷及治理分析,孟　波,工程施工新技术,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0312-27,72.08147
地表沉陷 采煤 沉陷 预测 煤矿,10.32629/gmsm.v1i3.33,采矿新技术在煤矿开采中的应用研究,傅振斌,地矿测绘,2018,journal-article,Frontier Scientific Publishing Pte Ltd,https://doi.org/10.32629/gmsm.v1i3.33,71.02419
上行开采 覆岩 采动 煤层,10.37155/3041-0827-0108-24,复杂地质条件下煤矿薄煤层开采可行性研究,王世杰,工程技术与质量管理,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/3041-0827-0108-24,59.657368
上行开采 覆岩 采动 煤层,10.37155/2717-5189-0522-14,薄煤层开采过程中围岩管控技术研究,陈瑞强; 磊石,工程管理与技术探讨,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5189-0522-14,57.581757
上行开采 覆岩 采动 煤层,10.37155/2717-5189-0615-15,煤矿综采技术在厚煤层开采中的应用,浩陈; 马小明; 乔家亮; 一高; 贾云龙,工程管理与技术探讨,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5189-0615-15,57.265114
上行开采 覆岩 采动 煤层,10.32629/9789811439018,煤矿开采理论与方法,,,2019,book,Frontier Scientific Publishing Pte. Ltd.,https://doi.org/10.32629/9789811439018,56.907207
上行开采 覆岩 采动 煤层,10.37155/2811-0595-0102-14,露天采矿机在厚煤层开采中的应用探析,徐明明,地质研究与环境保护,2022,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0595-0102-14,56.896854
上行开采 覆岩 采动 煤层,10.69979/3029-2727.24.12.039,煤层气煤炭勘查开采管理模式分析,,建筑技术与创新,2024,journal-article,Singapore Juzhi Journal Publishing PTE. Ltd.,https://doi.org/10.69979/3029-2727.24.12.039,56.892796
上行开采 覆岩 采动 煤层,10.18686/ct.v1i2.2457,厚煤层放顶煤开采技术研究,张绪让,城市建设理论研究—施工技术,2016,journal-article,Universe Scientific Publishing Pte. Ltd.,https://doi.org/10.18686/ct.v1i2.2457,56.12433
上行开采 覆岩 采动 煤层,10.37155/3041-0827-0108-6,宁武煤田极薄层间距煤层过断层开采工艺优化与实践,张子学,工程技术与质量管理,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/3041-0827-0108-6,56.042313
上行开采 覆岩 采动 煤层,10.37155/2811-0609-0409-71,新形势下煤矿开采中采煤技术研究,勇土,工程施工新技术,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0409-71,55.34369
上行开采 覆岩 采动 煤层,10.37155/2811-0609-0310-21,煤矿开采中的智能开采技术,马文选,工程施工新技术,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0310-21,55.254913
煤矿 智能化 采区 规划,10.33142/ec.v6i10.9641,浅谈煤矿智能化开采及智慧化矿山的建设,李翀,工程建设,2023,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ec.v6i10.9641,64.35873
煤矿 智能化 采区 规划,10.33142/sca.v2i8.1216,煤矿矿井井筒穿越采空区的治理方法,王振,智能城市应用,2019,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/sca.v2i8.1216,62.324154
煤矿 智能化 采区 规划,10.33142/ec.v3i3.1574,煤矿采煤机智能化关键技术探讨,蒋峰,工程建设,2020,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ec.v3i3.1574,61.697193
煤矿 智能化 采区 规划,10.37155/2717-5316-0606-31,煤矿采煤机智能化研究,王晓峰,工程学研究与实用,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5316-0606-31,60.873806
煤矿 智能化 采区 规划,10.37155/2811-0595-0412-6,煤矿采煤机智能化关键技术探讨,李智杰,地质研究与环境保护,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0595-0412-6,60.810135
煤矿 智能化 采区 规划,10.37155/2811-0595-0104-5,分析煤矿采煤机智能化关键技术,贾智勇,地质研究与环境保护,2022,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0595-0104-5,60.80447
煤矿 智能化 采区 规划,10.64216/3080-1508.26.02.055,智能化煤矿开采技术体系构建与优化,,工程技术论坛,2026,journal-article,"Hong Kong Anmai Publishing Co., Ltd.",https://doi.org/10.64216/3080-1508.26.02.055,59.024117
煤矿 智能化 采区 规划,10.37155/2811-0625-0201-35,煤矿采煤机智能化关键技术探讨,赵志强,现代工程项目管理,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0625-0201-35,58.503662
煤矿 智能化 采区 规划,10.37155/2717-5189-0407-1,分析煤矿采煤机智能化关键技术,王振国,工程管理与技术探讨,2022,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5189-0407-1,57.903416
煤矿 智能化 采区 规划,10.37155/2717-5316-0420-24,煤矿智能矿山自动化开采技术与应用,满花,工程学研究与实用,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5316-0420-24,57.47976
煤矿 智能化 采区 规划,10.33142/9798957332022,智能化采矿技术探究,李冬,,2025,edited-book,Viser Technology Pte. Ltd.,https://doi.org/10.33142/9798957332022,57.39708
煤矿 智能化 采区 规划,10.37155/2717-5316-0506-59,煤矿智能化开采技术研究,董　军,工程学研究与实用,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5316-0506-59,57.381527
煤矿 智能化 采区 规划,10.37155/2811-0609-0423-76,煤矿智能化开采现状及展望,蒋　栋,工程施工新技术,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0423-76,57.27083
煤矿 智能化 采区 规划,10.37155/2717-5316-0211-26,煤矿自动化智能化开采体系研究,乔彦平,工程学研究与实用,2021,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5316-0211-26,57.22722
煤矿 智能化 采区 规划,10.61369/era.4043,煤矿智能化开采技术研究与应用,祁园园,Engineering Research and Application,2024,journal-article,Art and Design Press,https://doi.org/10.61369/era.4043,57.186855
煤矿 智能化 采区 规划,10.37155/2717-5197-0506-44,基于煤矿采煤机智能化关键技术分析,杨跃英,机械与电子控制工程,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5197-0506-44,56.88569
煤矿 多目标 优化 采区,10.37155/2972-4333-0307-12,煤矿深部开采采掘技术优化策略,赵文毓,工程技术创新与发展,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2972-4333-0307-12,51.29687
煤矿 多目标 优化 采区,10.37155/2717-5189-0618-11,煤化工调度中的多目标优化决策支持系统研究,咬登虎,工程管理与技术探讨,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5189-0618-11,51.1449
煤矿 多目标 优化 采区,10.37155/2811-0625-0201-30,智能化矿山采矿技术中的安全管理问题分析,王标标,现代工程项目管理,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0625-0201-30,49.943394
煤矿 多目标 优化 采区,10.37155/2811-0625-0211-18,煤矿综合机械化采煤设备及工艺分析,郭晓飞,现代工程项目管理,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0625-0211-18,49.24645
煤矿 多目标 优化 采区,10.61369/era.9254,煤矿采矿工程巷道掘进和支护技术优化措施研究,罗建发,Engineering Research and Application,2024,journal-article,Art and Design Press,https://doi.org/10.61369/era.9254,49.16789
煤矿 多目标 优化 采区,10.37155/2811-0595-0312-10,煤矿井下采矿技术存在问题及优化措施,程　上; 丁　磊,地质研究与环境保护,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0595-0312-10,48.370026
煤矿 多目标 优化 采区,10.37155/2972-435x-0207-24,煤矿采掘输煤除尘技术问题及方案的优化,刘君贤; 牛汉彬,工程施工与管理,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2972-435x-0207-24,48.07468
煤矿 多目标 优化 采区,10.37155/2811-0625-0421-13,现代智能化煤矿开采技术研究,吕　兵,现代工程项目管理,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0625-0421-13,47.675842
煤矿 多目标 优化 采区,10.37155/2811-0625-0309-64,采矿新技术对煤矿开采的重要性,付超军,现代工程项目管理,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0625-0309-64,47.39088
煤矿 经济评价 风险 净现值,10.33142/mem.v4i2.9575,工程项目经济评价中不确定性与风险分析探讨,李娜,现代经济管理,2023,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/mem.v4i2.9575,69.46172
